Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
UMTS,645,3,301,164759,0,28.24928284,-15.41999817,1000,1,1,1445306064,1445306064,0
UMTS,645,3,301,194361,0,28.317947,-15.373993,1000,4,1,1458579025,1488456421,0
UMTS,645,3,301,194160,0,28.338547,-15.433731,1898,4,1,1458579025,1491962838,0
UMTS,645,3,301,194051,0,28.35227966,-15.45295715,1000,1,1,1439785086,1439785086,0
UMTS,645,3,301,194090,0,28.323097,-15.44858,1000,16,1,1458579025,1489968470,0
UMTS,645,3,301,193799,0,28.334429,-15.389788,4782,3,1,1458579025,1476077882,0
UMTS,645,3,301,194731,0,28.28773499,-15.41313171,1000,1,1,1455754459,1455754459,0
UMTS,645,3,301,194571,0,28.323001,-15.411277,1000,21,1,1458579025,1493848243,0
UMTS,645,3,301,164110,0,28.23280334,-15.41862488,1000,1,1,1447166960,1447166960,0
UMTS,645,3,301,164849,0,28.2827,-15.414505,1000,9,1,1458579025,1489474704,0
UMTS,645,3,301,164081,0,28.317635,-15.442907,1078,22,1,1458579024,1490106003,0
UMTS,645,3,301,163599,0,28.34266663,-15.36231995,1000,1,1,1446213546,1446213546,0
UMTS,645,3,301,194999,0,28.268967,-15.410233,1000,9,1,1458579026,1490792295,0
UMTS,645,3,301,194739,0,28.26301575,-15.39253235,1000,20,1,1458579025,1484015247,0
UMTS,645,3,301,194760,0,28.307648,-15.3685,1178,2,1,1458579025,1490637020,0
UMTS,645,3,301,194841,0,28.271467,-15.407058,1000,26,1,1458579026,1491621724,0
UMTS,645,3,301,194930,0,28.327245,-15.388381,1000,2,1,1458579026,1492540200,0
UMTS,645,3,301,195190,0,28.31382751,-15.3993988,1000,1,1,1438825675,1438825675,0
UMTS,645,3,10331,155241,0,28.534928,-14.322052,1238,2,1,1458579026,1486094497,0
UMTS,645,3,301,194829,0,28.26164246,-15.38154602,1000,1,1,1448326978,1448326978,0
UMTS,645,3,10331,164719,0,28.27812195,-14.56443787,1000,1,1,1444096673,1444096673,0
UMTS,645,3,10331,155200,0,28.464202,-14.471741,3035,2,1,1458579026,1482145984,0
UMTS,645,3,10331,163009,0,28.508835,-14.369431,1000,2,1,1458579026,1473810138,0
UMTS,645,3,10331,163160,0,28.43914,-14.444618,1000,4,1,1458579026,1482145984,0
UMTS,645,3,301,194749,0,28.21357727,-15.42686462,1000,1,1,1431399968,1431399968,0
UMTS,645,3,301,194840,0,28.274002,-15.409012,1000,7,1,1458579026,1479683939,0
UMTS,645,3,301,194740,0,28.27034,-15.406265,1000,3,1,1458579025,1491927124,0
UMTS,645,3,10301,109093,0,28.186111,-15.743408,1000,2,1,1458579026,1473042734,0
GSM,645,3,300,21092,0,28.15315247,-15.93772888,1000,1,1,1459335486,1459335486,0
GSM,645,1,11106,942,0,28.22181702,-15.1096344,1000,1,1,1460027682,1460027682,0
GSM,645,1,65385,9921,0,29.02381897,-15.2620697,1000,1,1,1460162579,1460162579,0
GSM,645,1,628,7705,0,23.501104,-15.173033,15311,20,1,1460265532,1675398421,0
GSM,645,2,11103,1462,0,28.387362,-15.404158,2239,70,1,1460360380,1577110362,0
GSM,645,2,10123,31663,0,28.228097,-12.781927,1000,18,1,1460640538,1608964984,0
GSM,645,1,22114,22293,0,28.756455,-16.507407,4438,19,1,1461662001,1579868292,0
